"timestamp","latitude","longitude","accel_mean","accel_variance","accel_stats_x_p1","accel_stats_x_p10","accel_stats_x_p90","accel_stats_x_p99","accel_stats_y_p1","accel_stats_y_p10","accel_stats_y_p90","accel_stats_y_p99","accel_stats_z_p1","accel_stats_z_p10","accel_stats_z_p90","accel_stats_z_p99"
"2025-06-06 16:32:07","33.7804","-84.388227","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:04","33.780405","-84.388193","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:32:01","33.780422","-84.388155","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:58","33.780476","-84.388131","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:55","33.780566","-84.388068","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:52","33.780645","-84.387929","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:49","33.780615","-84.387663","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:46","33.780557","-84.387481","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:43","33.780504","-84.387296","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:40","33.780553","-84.387201","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:37","33.780614","-84.38709","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:34","33.780698","-84.387056","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:19","33.780758","-84.386731","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:16","33.780765","-84.386675","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:13","33.780776","-84.386607","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:10","33.78079","-84.386598","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:07","33.780797","-84.386585","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:04","33.780794","-84.386574","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:31:01","33.780791","-84.386565","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:30:58","33.780804","-84.386562","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:30:55","33.780802","-84.386564","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:30:52","33.780796","-84.38656","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:30:49","33.780807","-84.386558","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:30:46","33.780829","-84.386551","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:30:43","33.780826","-84.386544","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
"2025-06-06 16:30:40","33.780821","-84.386521","9.322","0.129","-1.379","-0.306","1.073","1.839","-3.218","1.686","3.677","4.597","7.815","8.581","9.5","9.96"
